"length","sau","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
198,"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0
200,"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0
202,"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0
204,"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
206,"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
208,"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
136,"11",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,9,21,19,5,1,0,0,0,0,0,2
138,"11",1,0,0,2,4,0,0,0,0,0,1,0,1,1,1,0,0,2,7,3,19,39,23,24,4,0,0,0,0,0,5
140,"11",11,0,0,5,23,1,0,0,0,0,4,4,9,3,10,2,1,11,30,16,61,102,66,80,51,3,0,0,0,0,6
142,"11",13,0,0,9,16,1,0,0,0,0,8,5,15,11,17,3,1,30,66,28,94,146,106,152,104,20,0,0,0,0,9
144,"11",14,0,0,9,21,2,0,0,0,0,5,21,6,14,19,7,4,39,64,31,100,183,106,198,154,47,0,0,0,0,32
146,"11",23,0,0,17,46,4,0,0,0,0,11,18,11,17,27,11,11,44,92,48,143,198,124,217,196,62,0,0,0,0,80
148,"11",12,0,0,12,27,1,0,0,0,0,7,17,19,17,15,17,10,47,105,36,149,193,148,261,217,83,0,0,0,0,121
150,"11",19,0,0,18,33,10,0,0,0,0,17,23,14,17,24,6,16,62,124,37,137,212,166,294,244,94,0,0,0,0,120
152,"11",21,0,0,8,34,8,0,0,0,0,10,21,20,22,25,15,11,57,112,33,143,199,162,291,267,114,0,0,0,0,132
154,"11",18,0,0,11,24,5,0,0,0,0,16,23,15,18,26,19,17,63,113,47,129,223,173,299,253,124,0,0,0,0,148
156,"11",20,0,0,17,37,7,0,0,0,0,14,21,11,27,20,25,10,54,113,41,130,181,163,289,263,133,0,0,0,0,139
